Draw Date,Regular Numbers,,,,,,,Bonus
31st December 2021,7,25,30,35,38,40,49,27
28th December 2021,11,12,21,27,32,43,49,15
24th December 2021,3,11,24,25,29,32,42,16
21st December 2021,13,23,26,27,28,38,47,36
17th December 2021,9,14,16,33,39,46,49,38
14th December 2021,3,21,22,26,28,44,49,34
10th December 2021,17,21,27,32,45,46,49,19
7th December 2021,9,16,19,24,27,34,40,7
3rd December 2021,7,18,22,35,37,43,45,44
30th November 2021,4,7,8,22,24,30,49,42
26th November 2021,9,26,30,35,37,42,50,47
23rd November 2021,14,17,25,27,31,32,34,20
19th November 2021,1,13,14,17,25,28,41,43
16th November 2021,5,6,7,17,26,29,42,38
12th November 2021,4,6,7,10,17,27,44,40
9th November 2021,2,8,16,17,19,26,42,41
5th November 2021,2,10,11,17,19,32,42,41
2nd November 2021,7,13,18,30,33,37,41,6
29th October 2021,1,5,17,18,38,41,48,13
26th October 2021,2,8,10,14,21,36,40,17
22nd October 2021,2,11,19,33,44,45,47,42
19th October 2021,12,26,28,32,41,43,50,49
15th October 2021,14,17,20,24,25,38,48,11
12th October 2021,7,11,13,30,38,40,43,45
8th October 2021,5,16,19,21,23,31,36,46
5th October 2021,2,10,18,19,25,42,48,21
1st October 2021,4,8,15,39,40,42,48,5
28th September 2021,2,5,8,18,23,31,35,43
24th September 2021,5,13,28,35,41,49,50,34
21st September 2021,4,8,11,14,15,34,45,7
17th September 2021,3,6,10,26,29,35,45,30
14th September 2021,17,24,27,33,38,41,48,39
10th September 2021,11,28,38,40,43,45,48,33
7th September 2021,5,8,31,36,41,42,43,39
3rd September 2021,1,2,4,10,27,33,45,31
31st August 2021,3,11,23,26,31,42,50,24
27th August 2021,9,10,13,25,41,47,49,36
24th August 2021,1,24,26,29,30,45,50,5
20th August 2021,2,6,21,31,34,39,45,33
17th August 2021,5,16,18,33,37,38,39,35
13th August 2021,1,14,17,20,28,32,38,6
10th August 2021,14,18,19,32,35,38,41,27
6th August 2021,14,15,24,43,44,48,49,47
3rd August 2021,4,5,9,15,24,36,48,50
30th July 2021,4,12,18,19,22,25,44,43
27th July 2021,5,12,13,32,36,40,48,49
23rd July 2021,7,8,13,21,35,38,45,15
20th July 2021,2,13,15,19,38,39,46,34
16th July 2021,13,17,24,26,33,46,48,27
13th July 2021,2,6,12,13,17,36,48,25
9th July 2021,11,21,32,33,38,40,44,19
6th July 2021,10,14,25,26,38,41,50,49
2nd July 2021,6,14,35,37,40,43,46,19
29th June 2021,6,17,22,23,32,37,47,13
25th June 2021,10,13,18,33,36,45,47,22
22nd June 2021,7,11,22,28,33,44,49,10
18th June 2021,11,14,15,24,34,43,47,36
15th June 2021,2,8,12,13,14,36,43,29
11th June 2021,20,21,25,33,38,44,45,22
8th June 2021,1,9,14,24,26,37,42,29
4th June 2021,2,3,16,28,31,42,47,12
1st June 2021,6,20,21,28,38,43,47,40
28th May 2021,7,18,22,40,44,46,50,5
25th May 2021,6,9,11,19,24,38,46,18
21st May 2021,5,6,25,31,32,44,48,39
18th May 2021,5,9,18,27,32,38,40,34
14th May 2021,3,18,19,24,26,27,45,20
11th May 2021,14,15,20,32,35,38,50,46
7th May 2021,1,8,17,21,35,39,46,31
4th May 2021,1,23,27,33,39,45,49,40
30th April 2021,2,14,27,30,31,35,43,38
27th April 2021,7,11,14,26,27,29,36,2
23rd April 2021,1,3,4,11,19,24,42,27
20th April 2021,7,10,11,19,22,30,37,18
16th April 2021,1,13,19,27,42,49,50,32
13th April 2021,15,16,18,19,22,44,47,28
9th April 2021,1,19,28,29,31,33,43,17
6th April 2021,2,14,24,25,35,44,45,11
2nd April 2021,30,32,33,34,37,45,49,25
30th March 2021,12,22,25,30,37,38,45,2
26th March 2021,2,4,16,24,25,27,49,29
23rd March 2021,5,6,12,28,29,36,46,40
19th March 2021,2,7,8,26,30,43,48,25
16th March 2021,8,15,25,27,33,39,44,20
12th March 2021,5,12,15,23,28,38,39,46
9th March 2021,3,7,16,22,29,31,42,15
5th March 2021,6,9,23,25,31,36,48,30
2nd March 2021,9,29,30,36,42,46,49,47
26th February 2021,11,17,19,22,27,31,40,38
23rd February 2021,3,13,14,20,30,45,49,35
19th February 2021,1,5,10,18,20,40,42,47
16th February 2021,1,6,12,21,34,37,47,20
12th February 2021,2,5,10,11,14,23,33,47
9th February 2021,4,12,16,17,33,36,44,2
5th February 2021,1,2,23,32,35,36,45,28
2nd February 2021,17,24,27,34,38,42,48,19
29th January 2021,9,11,20,22,33,36,46,49
26th January 2021,26,37,42,44,46,49,50,24
22nd January 2021,11,21,23,25,28,41,43,10
19th January 2021,23,31,34,38,40,45,50,41
15th January 2021,5,23,31,35,36,37,43,13
12th January 2021,4,12,13,15,18,30,50,34
8th January 2021,4,21,24,25,26,27,42,8
5th January 2021,1,16,21,24,35,37,39,45
1st January 2021,18,21,28,29,31,32,49,38
