Draw Date,Regular Numbers,,,,,,,Bonus
26th August 2022,3,11,22,26,29,46,48,28
23rd August 2022,9,13,14,19,37,43,50,4
19th August 2022,5,20,26,33,35,46,48,17
16th August 2022,1,2,9,21,32,33,43,36
12th August 2022,4,10,28,36,40,44,47,19
9th August 2022,16,19,25,26,27,33,45,38
5th August 2022,7,16,19,33,36,48,49,5
2nd August 2022,4,5,15,18,22,28,32,19
29th July 2022,7,14,17,18,19,23,41,16
26th July 2022,3,8,9,15,21,27,31,33
22nd July 2022,1,9,19,34,37,39,49,6
19th July 2022,6,9,17,19,31,34,46,4
15th July 2022,4,7,12,18,29,47,49,48
12th July 2022,8,11,15,16,26,29,40,37
8th July 2022,7,12,14,18,46,47,49,19
5th July 2022,12,29,33,35,38,41,46,13
1st July 2022,1,11,13,14,25,36,47,50
28th June 2022,8,19,22,41,42,46,47,10
24th June 2022,3,9,17,19,20,44,50,28
21st June 2022,2,4,5,22,32,40,50,43
17th June 2022,1,10,12,21,30,39,40,38
14th June 2022,11,17,18,25,36,41,50,34
10th June 2022,8,14,16,17,19,22,24,23
7th June 2022,6,13,17,20,28,36,44,31
3rd June 2022,2,16,17,21,38,43,45,42
31st May 2022,6,13,23,27,35,44,50,37
27th May 2022,4,9,21,22,27,31,34,5
24th May 2022,12,26,30,31,35,39,45,22
20th May 2022,5,6,20,29,42,44,47,14
17th May 2022,10,35,38,40,45,47,48,23
13th May 2022,2,22,37,38,39,42,47,30
10th May 2022,6,15,18,19,20,27,28,24
6th May 2022,3,6,11,18,19,28,41,26
3rd May 2022,6,11,22,24,27,29,33,31
29th April 2022,8,9,19,32,37,46,48,45
26th April 2022,3,10,15,31,35,38,42,22
22nd April 2022,13,14,23,30,34,36,42,33
19th April 2022,1,6,10,27,42,45,50,43
15th April 2022,1,6,18,21,30,32,37,35
12th April 2022,3,5,7,19,32,34,50,25
8th April 2022,1,2,14,15,21,26,29,4
5th April 2022,14,24,34,39,43,48,50,20
1st April 2022,7,10,18,29,38,43,50,41
29th March 2022,7,17,32,34,39,45,47,42
25th March 2022,3,7,16,18,27,32,37,17
22nd March 2022,14,16,20,26,33,36,48,1
18th March 2022,5,7,12,18,26,29,46,25
15th March 2022,3,7,12,17,23,38,40,27
11th March 2022,5,7,12,22,28,43,47,1
8th March 2022,10,12,13,18,25,26,37,39
4th March 2022,2,4,14,18,24,46,47,23
1st March 2022,5,6,28,36,40,46,50,27
25th February 2022,2,4,17,28,35,44,46,5
22nd February 2022,3,13,26,27,28,36,45,50
18th February 2022,2,3,8,11,12,37,49,36
15th February 2022,19,26,28,36,40,42,48,6
11th February 2022,1,10,12,30,33,34,36,4
8th February 2022,16,29,32,34,38,39,47,18
4th February 2022,5,15,19,22,37,46,47,1
1st February 2022,9,14,24,26,29,39,49,42
28th January 2022,3,7,8,10,34,43,47,16
25th January 2022,11,13,18,20,23,30,40,37
21st January 2022,10,14,21,26,28,36,50,41
18th January 2022,2,15,25,28,30,35,38,31
14th January 2022,2,4,7,10,14,21,34,26
11th January 2022,1,3,24,25,27,36,47,12
7th January 2022,4,5,31,39,42,45,50,11
4th January 2022,7,8,13,20,25,26,48,36
